Using cuda device
Find 9524 files.
Reading 9524 files...
Read 989 sequences.
VQVAE(
  (egru): GRU(89, 96)
  (gru): GRU(96, 96)
  (relu): LeakyReLU(negative_slope=0.01)
  (dgru): GRU(96, 96)
  (linear): Linear(in_features=96, out_features=96, bias=True)
  (vq_layer): VectorQuantizer()
)
Start trainning...
Epoch 1
-----------------
vq_loss:  tensor(0., device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0960, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.7905e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0943, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.1040e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0964, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.0044e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0966, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.5174e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0944, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(8.6666e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0921, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.3921e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0959, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(5.8358e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0951, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.2939e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0932, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(7.1643e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0942, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(5.9542e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0933, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.1249e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0936, device='cuda:0', grad_fn=<MeanBackward0>)
vq_loss:  tensor(9.3041e-07, device='cuda:0', grad_fn=<MulBackward0>)  recon_loss:  tensor(0.0943, device='cuda:0', grad_fn=<MeanBackward0>)
